time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1697853838058013700,60.143013671875,0,20,100,3,6.59371871347824e-17,0,67,-51.1216295,-30.0758517
1697853839082075000,61.16707495117188,0,20,100,3,6.546218032238505e-17,0,67,-51.1216295,-30.0758517
1697853839864096500,61.94909643554688,0,20,100,3,6.499842978376332e-17,0,67,-51.1216295,-30.0758517
1697853840860877600,62.945877685546876,0,20,100,2.9159998893737793,6.453596964689718e-17,0,67,-51.1216295,-30.0758517
1697853841918594800,64.0035947265625,0,20,100,2.799999952316284,6.407503813980303e-17,0,67,-51.1216295,-30.0758517
1697853843062518300,65.14751831054687,0,20,100,2.700000047683716,6.3612902257737e-17,0,67,-51.1216295,-30.0758517
1697853844083917300,66.16891723632813,0,20,100,2.5999999046325684,6.315497507062765e-17,0,67,-51.1216295,-30.0758517
1697853844875930000,66.96093017578124,0,20,100,2.5,6.270763579535897e-17,0,67,-51.1216295,-30.0758517
1697853845874066700,67.95906665039062,0,20,100,2.5,0.058930303901433945,0,67,-51.1216317,-30.07585
1697853846850834700,68.93583471679688,10,20,100,2.5,0.3458193242549896,342.18634033203125,66,-51.121643,-30.0758418
1697853847860730600,69.94573071289062,10,20,100,2.5829999446868896,1.2090789079666138,321.0819396972656,66,-51.1216818,-30.0758207
1697853848849037800,70.93403784179688,10,20,100,2.6659998893737793,2.6725432872772217,309.16082763671875,65,-51.121748,-30.0757892
1697853849863379500,71.94837939453124,10,20,100,2.6659998893737793,4.473039150238037,303.7929382324219,65,-51.1218356,-30.0757489
1697853850863997700,72.94899780273437,10,20,100,2.75,6.569331645965576,300.8496398925781,64,-51.1219479,-30.075699
1697853851880519400,73.96551953125,10,20,100,2.9000000953674316,8.793622970581055,298.97418212890625,64,-51.1220854,-30.07564
1697853852857365000,74.94236499023438,10,20,100,2.9159998893737793,10.726569175720215,297.5184631347656,64,-51.1222325,-30.0755797
1697853853872896500,75.957896484375,10,20,100,3,12.355002403259277,296.4903564453125,64,-51.1223908,-30.0755176
1697853854853720600,76.93872045898438,10,20,100,3.0829999446868896,14.417472839355469,296.6762390136719,64,-51.1225713,-30.0754395
1697853855878996000,77.96399584960938,10,20,100,3.299999952316284,15.986692428588867,296.63421630859375,62,-51.1227622,-30.0753567
1697853856861464300,78.94646435546875,10,20,100,3.4159998893737793,16.388032913208008,296.2071533203125,63,-51.1229253,-30.0752888
1697853857852610300,79.9376103515625,10,20,100,3.5,15.489017486572266,296.4877014160156,63,-51.1230463,-30.0752341
1697853858858409700,80.94340966796875,10,20,100,3.5829999446868896,13.9981689453125,296.26983642578125,62,-51.1231425,-30.0751932
1697853859859740700,81.94474072265625,10,20,100,3.5999999046325684,12.280740737915039,295.7740173339844,63,-51.1232171,-30.0751632
1697853860849579300,82.93457934570313,10,20,100,3.5829999446868896,10.348390579223633,291.173583984375,65,-51.1232778,-30.0751617
1697853861862743300,83.94774340820312,10,20,100,3.5999999046325684,8.396839141845703,281.9580993652344,64,-51.1233273,-30.0751941
1697853862878493200,84.9634931640625,10,20,100,3.5999999046325684,6.656795024871826,264.72930908203125,63,-51.1233588,-30.0752563
1697853864055566300,86.14056640625,10,20,100,3.5999999046325684,5.468261241912842,240.78758239746094,63,-51.1233808,-30.0753327
1697853864894300700,86.97930078125,10,20,100,3.700000047683716,5.37762451171875,219.97093200683594,62,-51.1233797,-30.0754
1697853865875822000,87.96082202148438,10,20,100,3.9000000953674316,5.114035606384277,202.67282104492188,62,-51.1233568,-30.0754565
1697853866865574700,88.95057470703125,10,20,100,4,3.2331066131591797,177.28526306152344,61,-51.1232946,-30.0754749
1697853868084400600,90.16940063476562,10,20,100,4.300000190734863,2.649359941482544,130.99322509765625,61,-51.1232202,-30.0754564
1697853869090047200,91.17504711914063,10,20,100,4.5,2.353517770767212,81.84471893310547,61,-51.1231744,-30.0754004
1697853869886092500,91.97109252929687,10,20,100,4.5,2.9443700313568115,44.722957611083984,61,-51.1231543,-30.0753408
1697853870862343000,92.94734301757812,10,20,100,4.5,3.974268674850464,30.593551635742188,61,-51.1231308,-30.075279
1697853871857263400,93.94226342773437,10,20,100,4.415999889373779,4.448825359344482,34.41486358642578,61,-51.1230884,-30.0752389
